CountryCode,CountryName,SeriesName,SeriesCode,2014
PER,Peru,Mobile account (% age 15+) [w2],WP15163_4.1,0
TJK,Tajikistan,Mobile account (% age 15+) [w2],WP15163_4.1,0
ETH,Ethiopia,Mobile account (% age 15+) [w2],WP15163_4.1,0.0278949
LKA,Sri Lanka,Mobile account (% age 15+) [w2],WP15163_4.1,0.0766368
MMR,Myanmar,Mobile account (% age 15+) [w2],WP15163_4.1,0.1637921
ECA,Europe & Central Asia (developing only),Mobile account (% age 15+) [w2],WP15163_4.1,0.2556822
AFG,Afghanistan,Mobile account (% age 15+) [w2],WP15163_4.1,0.3044038
NPL,Nepal,Mobile account (% age 15+) [w2],WP15163_4.1,0.3360386
EAP,East Asia & Pacific (developing only),Mobile account (% age 15+) [w2],WP15163_4.1,0.4007204
ARG,Argentina,Mobile account (% age 15+) [w2],WP15163_4.1,0.4323196
IDN,Indonesia,Mobile account (% age 15+) [w2],WP15163_4.1,0.4496315
ROM,Romania,Mobile account (% age 15+) [w2],WP15163_4.1,0.462934
JOR,Jordan,Mobile account (% age 15+) [w2],WP15163_4.1,0.4686658
VNM,Vietnam,Mobile account (% age 15+) [w2],WP15163_4.1,0.4965069
TUN,Tunisia,Mobile account (% age 15+) [w2],WP15163_4.1,0.6187012
ARM,Armenia,Mobile account (% age 15+) [w2],WP15163_4.1,0.6578374
LBN,Lebanon,Mobile account (% age 15+) [w2],WP15163_4.1,0.6707376
MDE,Middle East (Developing only),Mobile account (% age 15+) [w2],WP15163_4.1,0.6808724
UMC,Upper middle income,Mobile account (% age 15+) [w2],WP15163_4.1,0.7140712
BDI,Burundi,Mobile account (% age 15+) [w2],WP15163_4.1,0.7463846
TUR,Turkey,Mobile account (% age 15+) [w2],WP15163_4.1,0.8081998
BRA,Brazil,Mobile account (% age 15+) [w2],WP15163_4.1,0.8577456
MUS,Mauritius,Mobile account (% age 15+) [w2],WP15163_4.1,0.8643314
JAM,Jamaica,Mobile account (% age 15+) [w2],WP15163_4.1,0.9165031
NIC,Nicaragua,Mobile account (% age 15+) [w2],WP15163_4.1,1.053774
EGY,"Egypt, Arab Rep.",Mobile account (% age 15+) [w2],WP15163_4.1,1.144944
URY,Uruguay,Mobile account (% age 15+) [w2],WP15163_4.1,1.233433
THA,Thailand,Mobile account (% age 15+) [w2],WP15163_4.1,1.301266
TGO,Togo,Mobile account (% age 15+) [w2],WP15163_4.1,1.410039
GIN,Guinea,Mobile account (% age 15+) [w2],WP15163_4.1,1.473286
MIC,Middle income,Mobile account (% age 15+) [w2],WP15163_4.1,1.542853
PAN,Panama,Mobile account (% age 15+) [w2],WP15163_4.1,1.55795
LAC,Latin America & Caribbean (developing only),Mobile account (% age 15+) [w2],WP15163_4.1,1.724342
GTM,Guatemala,Mobile account (% age 15+) [w2],WP15163_4.1,1.770277
CMR,Cameroon,Mobile account (% age 15+) [w2],WP15163_4.1,1.796605
COG,"Congo, Rep.",Mobile account (% age 15+) [w2],WP15163_4.1,1.985446
WLD,World,Mobile account (% age 15+) [w2],WP15163_4.1,2.020803
BEN,Benin,Mobile account (% age 15+) [w2],WP15163_4.1,2.022727
COL,Colombia,Mobile account (% age 15+) [w2],WP15163_4.1,2.212442
NGA,Nigeria,Mobile account (% age 15+) [w2],WP15163_4.1,2.294961
DOM,Dominican Republic,Mobile account (% age 15+) [w2],WP15163_4.1,2.318056
IND,India,Mobile account (% age 15+) [w2],WP15163_4.1,2.35221
LMC,Lower middle income,Mobile account (% age 15+) [w2],WP15163_4.1,2.496755
LMY,Low & middle income,Mobile account (% age 15+) [w2],WP15163_4.1,2.512285
SAS,South Asia,Mobile account (% age 15+) [w2],WP15163_4.1,2.64885
BGD,Bangladesh,Mobile account (% age 15+) [w2],WP15163_4.1,2.691714
BOL,Bolivia,Mobile account (% age 15+) [w2],WP15163_4.1,2.777143
MYS,Malaysia,Mobile account (% age 15+) [w2],WP15163_4.1,2.830211
VEN,"Venezuela, RB",Mobile account (% age 15+) [w2],WP15163_4.1,2.979069
BFA,Burkina Faso,Mobile account (% age 15+) [w2],WP15163_4.1,3.08097
HND,Honduras,Mobile account (% age 15+) [w2],WP15163_4.1,3.408701
MEX,Mexico,Mobile account (% age 15+) [w2],WP15163_4.1,3.42403
HTI,Haiti,Mobile account (% age 15+) [w2],WP15163_4.1,3.78269
CHL,Chile,Mobile account (% age 15+) [w2],WP15163_4.1,3.789851
MWI,Malawi,Mobile account (% age 15+) [w2],WP15163_4.1,3.844101
NER,Niger,Mobile account (% age 15+) [w2],WP15163_4.1,3.852665
PHL,Philippines,Mobile account (% age 15+) [w2],WP15163_4.1,4.225874
MDG,Madagascar,Mobile account (% age 15+) [w2],WP15163_4.1,4.356019
SLE,Sierra Leone,Mobile account (% age 15+) [w2],WP15163_4.1,4.452388
IRN,"Iran, Islamic Rep.",Mobile account (% age 15+) [w2],WP15163_4.1,4.495691
SLV,El Salvador,Mobile account (% age 15+) [w2],WP15163_4.1,4.556788
MNG,Mongolia,Mobile account (% age 15+) [w2],WP15163_4.1,4.997987
TCD,Chad,Mobile account (% age 15+) [w2],WP15163_4.1,5.750107
PAK,Pakistan,Mobile account (% age 15+) [w2],WP15163_4.1,5.799799
SGP,Singapore,Mobile account (% age 15+) [w2],WP15163_4.1,6.14946
SEN,Senegal,Mobile account (% age 15+) [w2],WP15163_4.1,6.188361
MRT,Mauritania,Mobile account (% age 15+) [w2],WP15163_4.1,6.480396
GAB,Gabon,Mobile account (% age 15+) [w2],WP15163_4.1,6.648425
ZAR,"Congo, Dem. Rep.",Mobile account (% age 15+) [w2],WP15163_4.1,9.208664
LIC,Low income,Mobile account (% age 15+) [w2],WP15163_4.1,10.0184
NAM,Namibia,Mobile account (% age 15+) [w2],WP15163_4.1,10.35909
ARE,United Arab Emirates,Mobile account (% age 15+) [w2],WP15163_4.1,11.49099
SSA,Sub-Saharan Africa (developing only),Mobile account (% age 15+) [w2],WP15163_4.1,11.51444
MLI,Mali,Mobile account (% age 15+) [w2],WP15163_4.1,11.64245
ZMB,Zambia,Mobile account (% age 15+) [w2],WP15163_4.1,12.11431
GHA,Ghana,Mobile account (% age 15+) [w2],WP15163_4.1,13.00655
KHM,Cambodia,Mobile account (% age 15+) [w2],WP15163_4.1,13.29456
ZAF,South Africa,Mobile account (% age 15+) [w2],WP15163_4.1,14.42818
RWA,Rwanda,Mobile account (% age 15+) [w2],WP15163_4.1,18.09768
BWA,Botswana,Mobile account (% age 15+) [w2],WP15163_4.1,20.75152
ZWE,Zimbabwe,Mobile account (% age 15+) [w2],WP15163_4.1,21.59552
CIV,Cote d'Ivoire,Mobile account (% age 15+) [w2],WP15163_4.1,24.26138
TZA,Tanzania,Mobile account (% age 15+) [w2],WP15163_4.1,32.3587
UGA,Uganda,Mobile account (% age 15+) [w2],WP15163_4.1,35.10038
SOM,Somalia,Mobile account (% age 15+) [w2],WP15163_4.1,37.06591
KEN,Kenya,Mobile account (% age 15+) [w2],WP15163_4.1,58.39263
